SUBJECT,COMPETENCIES,SUB BLOCKS,1,2,3,4,5,6
ENGLISH,Communicates orally in English,Phonics,Basic word stress patterns through chants and rhymes.,Storytelling based on a sequence of images,Basic word stress patterns through chants and rhymes.,Storytelling based on a sequence of images,Basic word stress patterns through chants and rhymes.,Basic word stress patterns through chants and rhymes. Storytelling based on a sequence of images
,,Vocabulary Development,"Basic vocabulary related to school, family, hobbies",Oral Presentations on simple events,"Basic vocabulary related to school, family, hobbies","Basic vocabulary related to school, family, hobbies",Oral presentations on simple events,Oral presentations on simple events
,,Listening Skills,Key points in short stories or announcements Fill-in-the-blanks listening exercises,Key points in short stories or announcements.,Key points in short stories or announcements.,Fill-in-the-blank listening exercises,Key points in short stories or announcements.,Fill-in-the-blank listening exercises
,,Speaking Skills,Simple dialogues about daily routines ,Scripted role-plays,Scripted role-plays,Poem recitation,TEDTalk Presentations,TEDTalk Presentations
,,,Pair work practice,Pair work practice,Pair work practice,Pair work practice,Pair work practice,
,Reads diverse types of written texts in English,Textual Comprehension,Short descriptive paragraphs,Short descriptive paragrapghs and simple dialogues.,Simple dialogues,Simple narratives,Simple narratives,Simple poems
,,Reading Skills,"Characters' feelings, motives in short stories. Simple character descriptions.","Characters' feelings, motives in short stories. ","Main idea, details in texts (letters, emails).","Characters' feelings, motives in short stories. Simple character descriptions.",Personal responses to illustrated texts,Personal responses to illustrated texts
,,Reading Plan,Charlotte's Web,,Charlie and the Chocolate Factory,,Matilda,
,Writes diverse types of texts in English ,Text types,"Simple texts focusing on expressing opinions, and giving reasons.","Simple texts focusing on expressing opinions, and giving reasons.","Informal Letters: 150-200 words, learning to communicate personally.","Simple reports: 200-250 words, reportig on straightforward topics..","Narrative essays: 250-300 words, focusing on personal experiences.","Narrative essays: 250-300 words, focusing on personal experiences."
,,Idea development and process,Simple outlines,Mind maps,Drafting simple sentence structuress,Peer reviewing for basic feedback,Revising for clarity and coherence,Mind maps
,,Language conventions,Basic orthographic conventions,Present Perfect Tense,Present Perfect Tense,Modal Verbs,Adverb Placement,Adverb Placement
,,Writing Reflection,Purpose and coherence,Purpose and coherence,Purpose and coherence,Purpose and coherence,Purpose and coherence,Purpose and coherence
COMUNICACIÓN,Se comunica oralmente en su lengua materna,Producciones orales,Texto instructivo: tutorial,Declamación: soneto,Narración oral: noticias,Narración oral: cuentos y leyendas,Narración oral: argumento,Charla TED: informativo o narrativo
,Lee diversos tipos de texto escritos en su lengua materna,Literatura,Textos literarios y no literarios,El verso y la prosa,Los géneros literarios,,,
,,Técnicas y estrategias,Identificación de ideas principales,Interpretación de refranes,Palabras en contexto,Caracterización de personajes,,Críticas particulares de un texto
,,Lectura de obras,Me dicen Sara tomate (Jean Uré),La palabra del mudo 1(Julio Ramón Ribeyro),La aldea encantada (Abraham Valdelomar),Lima hora cero (Enrique Congrains),Los ojos de Lina (Clemente Palma),"
Mi planta de naranja lima (José Mauro Vasconcelos)"
