SUBJECT,COMPETENCIES,SUB BLOCKS,1,2,3,4,5,6
,Escribe diversos tipos de texto en su lengua materna,Organizadores gráficos,Cadena de secuencias,,Mapa conceptual,Cuadro comparativo,,Citas y referencias APA
,,Productos escritos,Texto instructivo complejo,Coplas (x4),Noticias (200 palabras),Fábulas (300 palabras),,
,,Gramática y ortografía,"Atildamiento (casos especiales)
","Conjunción: características, clases y uso",Preposición: características y normativa de uso,Adverbio: características y normativa de uso,,
MATHEMATICS,Solves problems involving quantity,"Números Naturales
",Sistemas de medición,"Cálculo del múltiplo, divisor, números primos, compuestos y divisibles.
Resolución de problemas de mínimo común múltiplo y máximo común divisor","Representan de manera gráfica y simbólica las relaciones de orden entre números enteros en la recta numérica.
desarrollan problemas con números enteris, expresándolos en un modelo de solución.
Operaciones combinadas (adición, sustracción, multiplicación y división).
","Fracciones
Números fraccionarios
Características de las fracciones, propias e impropias y fracciones equivalentes.
Problemas que impliquen repartir una cantidad en forma equitativa.","Sistema métrico
Proporcionalidad
Uso de tablas para expresar relaciones de proporcionalidad directa e inversa","Indican las caracteristicas de una razón y una proporción a partir de ejemplos. 
Desarrollo de problemas utilizando la regla de tres simple (directa e inversa)."
,,,,,,,,
,,,"Desarrollan ejercicios cálculo para sumar, restar, multiplicar, dividir.   Planteamiento de problemas con números naturales, brindando un modelo de solución",,,,,
,,,Ubicación de los números positivos y negativos en la recta numérica.,,,,,
,"Solves problems involving patterns, equivalence and change","Algebra
","Definición de términos (incógnita, igualdad, desigualdad). 
Conceptos generales de algebra               
","Conceptos generales de algebra 
Valor numérico.
Plantean ecuaciones a partir de problemas.",,,"Fracciones equivalentes
Operaciones con fracciones algebraicas usando el MCM ",Constante Patrón aditivo y multiplicativo
,,,,"Ecuaciones 
 x ± a=b, ax ± b=c, (ax ± b/c=d 
Constante ",,,,
,"Solves problems involving shape, movement, and location",Geometría y medición,,"Geometría
Clasificación de los ángulos e identifican sus características.","Utilizan las propiedades de los ángulos para realizar cálculos.
Reconocen las relaciones de los ángulos formados por dos paralelas cortadas por una transversal.","Describen la definición de los triángulos y analizan sus características. 

",,Analizan las propiedades de los triángulos y cuadriláteros y las demuestran mediante la justificación. 
,Solves problems involving data management and uncertainty,Estadística y probabilidad,Estadística Identifica los elementos de un gráfico estadístico.," Probabilidad teórica y probabilidad experimental 
 Probabilidad en porcentaje (0%, 25%, 50%, 75% y 100%) 
 Probabilidad como fracción (o, ¼, ½, ¾ y 1)",,,"Construye una tabla de frecuencia a partir de datos en la tabla. 
Construye un gráfico de barras, lineal y circular.","Analiza gráficos de barras, lineales y circulares. "
,,,,,,,,- Calcula probabilidades utilizando  el Diagrama de árbol.
SCIENCE AND TECHNOLOGY,Inquires using scientific methods to construct knowledge,scientific methodology,,,,,,
,,experiments,,,,,,
,,research skills,,,,,,
,,science ethics,,,,,,
,,critical thinking,,,,,,
,"Explains the physical world based on knowledge of living beings, matter and energy, biodiversity, Earth and the universe",Human Body,"1. Circulatory system.
2.Respiratory system.
3. Locomotive aparatus.  
4. Aparato reproductor.",,,,,
,,Living Beings,,"1. Diversity of life .
2. Classification of organisms.
3. lassification hierarchy, from domains to species.
4. How species adapt to their environments over time. 
5. Concepts of natural selection and evolution
",,,,
,,Genetics and Heredity:,,,"    
1. How traits are inherited and passed from one generation to the next. 
2. Dominant and recessive genes.",,,
,,Cells,"      
1. Understanding the structure and function of plant and animal cells.
2. Exploring cellular processes like photosynthesis and cellular respiration. 
3. Organic Compounds",,,,,
,,Plants,,,"1. Life cycles of flowering plants. 
2. Seed germination, seedling growth, flowering and fruit formation with seeds.
3. Pollinator insects: bees, wasps, flies, butterflies and beetles. 
4. Adaptations to carry pollen. 
5. Ecological importance.",,,
,,Animals,,1. Animal classification (vert/invt),,,,
,,Solar System,,,,,"1. Theory on the origin of the universe.
2. Origin of the solar system.
",
,,Earth,,,,,"1. Origin of the Earth (lithosphere, atmosphere and hydrosphere). 
2. Inner layers of the earth.
3. Plate tectonics                                                                                      4.Relief formation processes.","
"
,,Ecosystem,,,,,,"1. Examining the relationships between organisms and their environments. 
2. Learning about food webs, energy flow, and the roles of producers, consumers, and decomposers in ecosystems."
,,Enviroment,,,,,,"
-How human activities can affect the environment and biodiversity. 
 -Exploring conservation efforts and sustainability."
,,Matter,,,,"         
1. States and properties of Matter.",,
,,Atoms,,,,"1. Atoms and molecules.
2. Cohesion and repulsion forces between molecules.",,
,,Energy,,,,"1. Energy transfer.
2. Heat vs. Temperature.
3. Heat transfer processes:
-Radiation Transfer.
-Conduction.
-Convection
4. Thermal conduction.
5. Thermal expansion.
6. Types of energy:
-Kinetic energy: Energy of motion.
Gravitational potential energy.",,
,Designs and constructs technological solutions to solve problems in their environment,Introduction to Design and Build Technological Solutions,,,,,,
,,Basics of Mechanical Engineering,,,,,,
SOCIAL STUDIES,Builds their identity,,,,,,,
,,,,,,,,
,Lives and participates democratically in the pursuit of the common good,,,,,,,
,Build historical interpretations,Time representations,Timeline elements,"Theories of American settlement,",,,,
,,Latin American,Peruvian historical periods,"Timeline: relation between local, regional and national history.",,,,
,,World History,Hominization process  , Paleolithic and Neolithic, The age of metals. ,,,
,,Sources,Sources of information: selection and location in time.,,,,,
,Manage space and environment responsibly,Cartography,. ,,"Types of maps:political,economic demographic,climate,  etc",,,
,,Physical Geography,"Physical geography: definition, history, major forms of study.  ", Structure and importance for nature and human life.,,,,
,,Human geography,,,"Vulnerability: climate change and school's disasters, economic sectors",,,
,,Political Geography,,,,"Peru, Lima and Lima Metropolitana.",,
,Manage economic resources responsibly,Economic Fundamentals,.,,Goods and services production and classification. ,,"Human needs: characteristics, satisfaction process and classification. ","Marketing, consumption and consumerism"
,,Market and Trade,,Law of demand and law of supply,Poverty and the distribution of income.,,,
,,Entrepreneurship and Economics Growth,  ,Poverty and the distribution of income,,,,
,,Public Policy and the Economy,   ,"Full employment, price stability, economic freedom and economic growth.   ",,,"Economic Performance: economic efficiency, equity, economic security",
,,Financial Security,    ,,,,"Family budget,Saving vs. investing ", Banks and financial institutions
PHYSICAL EDUCATION,Develops autonomously through their motor skills,Capacidades Fisicas,Analiza la fuerza,Analiza velocidad,Analiza la felixbilidad,Analiza la resistencia,Analiza la coordinacion,Anliza las capacidades fisicas en conjunto
,,Habilidades motrices,Locomocion,Locomocion,Manipulacion,Estabilizacion,Locomocion (Habilidades Moticies Combinadas),"Locomocion, manipulacio, estabilizacion"
,,Habilidades Cognitivas,Concepto de Tactica,Concepto de tactica,Conocimiento anatómico y biomecánico básico,Conocimiento anatómico y biomecánico básico,Planificación y seguimiento del ejercicio:,Planificación y seguimiento del ejercicio:
,,Habilidades perceptivas,Percepción táctil,Percepción auditiva,Percepcion Tactil,Percepción kinestésica,Percepción auditiva,Percepción auditiva
,Adopts a healthy lifestyle,Postura corporal,Postura corporal en actividades fisicas,Aplicación en actividades físicas y deportivas,,,Conciencia corporal,
,,Higiene,,,Higiene personal,,,Higiene de la ropa y el equipo deportivo
,,Alimentacion,,,,Nutrientes escenciales,,
,Interacts through socio-motor skills,Habilidaesdes Sociomotrices,Cooperación y trabajo en equipo,Cooperación y trabajo en equipo,,Liderazgo y toma de decisiones,Liderazgo y toma de decisiones,Comunicación y coordinación
,,Estrategias de juego,,,Conocimiento de las reglas de juego,,,
SPIRITUAL HISTORY,"Construye su identidad como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas",,,,,,,
,Asume la experiencia del encuentro personal y comunitario con Dios en su proyecto de vida en coherencia con su creencia religiosa,,,,,,,
ICT,Functions within virtual environments created by ICTs,"Computer science fundamentals
","Exploring the iPad: Responsible and Safe Use of Technology
","Introduction to computer networks, emphasizing how devices are connected and communicate over networks.",,,,Focusing on ethical aspects of online behavior and exploring the game's advanced levels.
,,"Computer systems
",,,,,,
,,Data and Analysis,,"Collecting data from multiple sources, including online surveys and real-world problems relevant to the curriculum.",,,,
,,Computing and Programming,,Transitioning to text-based programming using resources from Code.org's middle school courses.,"
Introduction to HTML, CSS, and JavaScript basics using the Mimo app",,,
,Manages their learning autonomously,Cybersecurity,"Exploring the iPad: Responsible and Safe Use of Technology
",,,"Advanced understanding of online safety, including the risks associated with social media and sharing personal data.",,"Exploring the concept of cybersecurity and its importance in a digital world.Advanced use of Google's Interland to enhance learning about cybersecurity.
"
,,"Emerging Technologies

",,,,,     Advancing programming skills with real-world applications.,
ART,"Creates original art reflecting creativity, using techniques and materials effectively, and communicates artistic intention and message",,,,,,,
MUSIC,Appreciates critically different artistic and cultural creations.,Music history,"Classical music history(inicios)
History of the piano 
One-note melodies
Estructuras más comunes
Reconocimiento del pulso
Acentuaciones de tiempo
Pulso fuerte y pulso débil 
Redonda, blanca y negra
Silencios de redonda, blanca, negra y corchea","Classical music history(desarrollo)
History of the piano
Motivos rítmicos
One-note melodies
Estructuras más comunes
Acentuaciones de tiempo y contratiempos
Redonda, blanca, negra y corchea
Silencios de redonda, blanca, negra y corchea","Reviewing some classical music famous melodies
Motivos melódicos
Motivos rítmicos
One-note melodies
Estructuras más comunes
Redonda, blanca y negra
Corchea, semicorchea y galopa
Silencios de redonda, blanca, negra y corchea","History of pop music and the relation with classical music
Reconocimiento auditivo de progresiones mayores
Estructuras más comunes
Figuras rítmicas en acordes
Redonda, blanca y negra
Silencios de redonda, blanca, negra y corchea","History of pop music and the relation with classical music
Reconocimiento auditivo de progresiones mayores
Reconocimiento auditivo de progresiones extrañas
Estructuras más comunes
Asociación de las progresiones conocidas con “palabras clave” o “sentimientos”
Elección de progresiones favoritas.
Exploración y modificación de progresiones favoritas.
Figuras rítmicas en acordes
Redonda, blanca y negra, corchea
Silencios de redonda, blanca, negra y corchea","History of pop music and how 
Reconocimiento auditivo de progresiones mayores
Reconocimiento auditivo de progresiones extrañas
Asociación de los grados armónicos a las progresiones ya conocidas
Estructuras más comunes
Composición armónica
Asociación de las progresiones conocidas con “palabras clave” o “sentimientos”
Exploración y modificación de progresiones favoritas.
Aprecia criticamente el uso de determinadas progresiones armónicas en canciones populares
"
,Creates projects through artistic media.,Music expression,"Digitación básica de DO a SOL usando los dedos 1,2,3,4 y 5 
Hanon ej. 1
Ejecución de arpegio mayor de Do
Ejecución de escala mayor en Do
Ejecución de las melodías del repertorio designado
Reconocimiento del pulso
Pulso 1 
Acentuaciones de tiempo
Pulso fuerte y pulso débil 
Figuras rítmicas
Redonda, blanca, negra y corchea
Silencios de redonda, blanca, negra y corchea","Hanon ej. 1 y 2
Ejecución de arpegios mayores y menores dentro del rango de 1 octava en distintas tonalidades
Ejecución de escalas mayores en Do, Sol
Ejecución de las melodías del repertorio designado
Motivos rítmicos
One-note melodies
Pulso fuerte y pulso débil 
Redonda, blanca y negra
Corchea y semicorchea
Silencios de redonda, blanca, negra y corchea","Hanon ej. 1, 2 y 3
Ejecución de arpegios mayores y menores dentro del rango de 1 octava en distintas tonalidades
Ejecución de escalas mayores en Do, Sol, Re
Ejecución de las melodías del repertorio designado
Motivos melódicos
Motivos rítmicos
One-note melodies
Estructuras más comunes:
AAAB, AABB, ABAB, ABBA
Redonda, blanca y negra
Corchea, semicorchea y galopa
Silencios de redonda, blanca, negra y corchea","Hanon ej. 1, 2, 3, y 5
Ejecución de progresiones mayores en Do, Mi
I - V - Vim - IV (tonalidad mayor)
IV - V - Vim - V (tonalidad mayor)
Ejecución de arpegios mayores y menores dentro del rango de 1 octava en distintas tonalidades
Ejecución de escalas mayores en Do, Sol, Re, La
Ejecución de las melodías del repertorio designado
Estructuras más comunes:
AAAB, AABB, ABAB, ABBA
Asociación de las progresiones conocidas con “palabras clave” o “sentimientos”
Redonda, blanca y negra
Corchea y semicorchea
Galopa y galopa invertida
Silencios de redonda, blanca, negra y corchea","Hanon ej. 1, 2, 3, 5 y 6
Ejecución de progresiones mayores en Do, Si, Mi 
I - V - Vim - IV (tonalidad mayor)
IV - V - Vim - V (tonalidad mayor)
Vim - IV - I - V (tonalidad mayor)
Ejecución de arpegios mayores y menores dentro del rango de 1 octava en distintas tonalidades
Ejecución de escalas mayores en Do, Sol, Re, La y Mi
Ejecución de las melodías del repertorio designado
Composición melódica
Asociación de las progresiones conocidas con “palabras clave” o “sentimientos”
Elección de progresiones favoritas.
Exploración y modificación de progresiones favoritas.
Redonda, blanca y negra
Corchea y semicorchea
Galopa y galopa invertida
Silencios de redonda, blanca, negra y corchea","Hanon ej. 1, 2, 3, 5 y 6
Ejecución de progresiones mayores en Do, Si, Mi 
I - V - Vim - IV (tonalidad mayor)
IV - V - Vim - V (tonalidad mayor)
Vim - IV - I - V (tonalidad mayor)
Ejecución de progresiones extrañas
I - III - IV - IVm (tonalidad mayor)
I - VIm - IIIm - III (tonalidad mayor)
Ejecución de escalas mayores en Do, Sol, Re, La y Mi
Ejecución de las melodías del repertorio designado
Composición melódica
Elección de progresiones favoritas.
Exploración y modificación de progresiones favoritas.
Redonda, blanca y negra
Corchea y semicorchea
Galopa y galopa invertida
Silencios de redonda, blanca, negra y corchea"
GLOBAL PERSPECTIVES,Build historical representations,Latin American,,,,,,
,,World History,Humans and other species,Changing communities,Migration,Demographic change,Poverty and Inequality,Employment
,,Sources,,,,,,
,Manage space and environment responsibly,Human geography,,,,,,
,,Political Geography,,,,,,
FRANÇAIS,Il communique oralement en français,Compréhension de l'oral,Salutations et présentation personnelle,Se décrire soi-même,Décrire des actions,Situer dans l'espace ,Parler de sa famille,L'appartenance
,,,Présenter quelqu'un,Décrire quelqu'un,Parler d'écologie,Demander et dire l'âge,Des ordres ou des conseils,Des achats
,,,Sa couleur préférée,Faire des appréciations,,,,
,Il lit divers types de textes écrits en français,Compréhension des écrits ,,"Des noms familiers, des mots ainsi que des phrases très simples",Des pictogrammes,Des mots interrogatifs pour comprendre des textes courts,Un arbre généalogique,Des paragraphes courts
,,,,,Des phrases courtes,,Des affiches,Des dialogues simples
,Il rédige divers types de textes en français,Production écrite,,Le genre des adjectifs,Les verbes en -ER (1),Les parties du corps et les prépositions de lieu,Les adjectifs possessifs 1,Le verbe AVOIR et la forme négative
,,,,La formation du pluriel ,Le recyclage et l'écologie,Tu as quel âge? J'ai...ans,L'impératif,Les adjectifs démonstratifs
DRAMA,Appreciates critically different artistic and cultural creations.,,Types of theatrical spaces,Parts of a theatre and stage vocabulary,Myths and rituals,Greek theatre,"Aristotle's ""Poetics""",Elements of tragedy
,Creates projects through artistic media.,,Designing our own theatrical space,Designing our own theatrical space (continued),Creating a performance based on a myth or ritual,Adapting and performing a Greek play,Creating a play incorporating Aristotle's elements of tragedy,Performance of an original tragedy
